,movielensId,imdbId,extroversion,neuroticism,agreeableness,conscientiousness,openess
0,1,tt0114709,0,0,1,0,1
1,122882,tt1392190,0,0,0,0,1
2,6,tt0113277,0,1,0,0,1
3,8199,tt0046478,0,0,0,0,1
4,10,tt0113189,0,0,0,0,1
5,11,tt0112346,1,0,1,1,1
6,122892,tt2395427,0,0,1,0,1
7,81932,tt0964517,0,0,0,0,1
8,14,tt0113987,0,0,0,1,1
9,8207,tt0069947,0,0,0,1,1
10,16,tt0112641,0,0,0,0,1
11,17,tt0114388,0,1,1,1,0
12,122896,tt1790809,0,1,0,0,1
13,19,tt0112281,0,0,0,0,1
14,122898,tt0974015,0,0,0,0,1
15,25,tt0113627,0,1,0,0,1
16,28,tt0114117,0,0,0,1,1
17,31,tt0112792,0,1,0,0,1
18,32,tt0114746,0,0,0,0,1
19,34,tt0112431,0,1,0,0,1
20,8228,tt0022111,0,0,0,0,1
21,36,tt0112818,0,0,0,0,1
22,122918,tt3896198,0,0,0,0,1
23,39,tt0112697,0,1,0,0,0
24,8235,tt0014429,0,0,0,1,1
25,122924,tt3385516,0,0,0,0,1
26,45,tt0114681,0,1,0,0,1
27,50,tt0114814,0,0,0,0,1
28,98361,tt1531901,0,1,0,0,1
29,62,tt0113862,0,1,1,0,1
30,8261,tt0075612,1,1,0,0,1
31,70,tt0116367,0,0,0,0,1
32,8268,tt0107843,0,1,0,0,1
33,88,tt0115697,1,0,1,1,1
34,95,tt0115759,0,0,1,0,1
35,104,tt0116483,0,0,1,1,1
36,105,tt0112579,0,0,1,1,1
37,110,tt0112573,0,0,0,0,1
38,111,tt0075314,0,1,0,1,1
39,49272,tt0381061,0,0,0,0,1
40,49274,tt0366548,0,0,0,0,1
41,123,tt0109424,1,1,0,1,0
42,49278,tt0453467,0,0,1,1,1
43,49286,tt0457939,1,1,1,1,1
44,135,tt0116130,1,0,0,0,1
45,141,tt0115685,0,1,1,0,1
46,145,tt0112442,0,0,0,0,1
47,147,tt0112461,0,0,0,0,1
48,150,tt0112384,0,0,1,0,1
49,73881,tt1187043,0,1,1,0,1
50,57504,tt0808506,0,1,1,0,0
51,161,tt0112740,0,0,0,0,1
52,163,tt0112851,0,1,1,0,1
53,131237,tt1595366,1,0,0,1,1
54,166,tt0112887,0,1,1,0,1
55,8360,tt0298148,0,0,1,0,1
56,175,tt0113540,1,1,1,0,1
57,8368,tt0304141,0,1,0,0,1
58,8371,tt0296572,0,1,0,0,1
59,190,tt0114323,0,0,1,1,1
60,106696,tt2294629,0,1,1,0,1
61,203,tt0114682,0,0,1,1,1
62,204,tt0114781,0,0,1,0,1
63,215,tt0112471,1,0,1,1,1
64,216,tt0112508,0,0,0,0,1
65,223,tt0109445,1,1,1,1,0
66,231,tt0109686,0,0,1,1,1
67,235,tt0109707,0,0,0,0,1
68,33004,tt0371724,0,0,0,0,1
69,90357,tt1204340,0,1,0,0,1
70,114935,tt2397535,0,0,0,0,1
71,82169,tt0980970,0,1,1,0,1
72,253,tt0110148,0,1,0,0,1
73,90374,tt1441326,0,1,1,0,1
74,262,tt0113670,0,1,1,1,1
75,90376,tt1242460,0,1,0,0,1
76,266,tt0110322,0,1,0,0,1
77,106766,tt2042568,0,1,0,0,1
78,277,tt0110527,0,1,1,0,1
79,282,tt0110638,1,1,1,0,1
80,288,tt0110632,0,0,0,0,1
81,106785,tt2312718,0,0,0,0,1
82,292,tt0114069,0,0,0,0,1
83,90405,tt1637688,0,1,0,0,1
84,296,tt0110912,0,0,0,1,1
85,8491,tt0042041,0,0,0,0,1
86,300,tt0110932,0,0,0,0,1
87,8507,tt0022913,0,1,0,0,1
88,316,tt0111282,0,0,0,0,1
89,318,tt0111161,0,0,0,0,1
90,90430,tt1692486,1,1,1,0,1
91,8516,tt0038733,0,0,0,0,1
92,57669,tt0780536,1,0,0,0,1
93,326,tt0110081,0,1,0,0,1
94,327,tt0114614,0,1,0,0,1
95,65868,tt0963194,0,1,0,0,1
96,333,tt0114694,0,1,0,1,0
97,8528,tt0364725,0,0,0,0,1
98,8529,tt0362227,0,1,0,0,1
99,337,tt0108550,0,1,1,0,0
100,339,tt0114924,0,1,1,1,0
101,8533,tt0332280,0,1,0,1,1
102,344,tt0109040,0,1,0,0,1
103,349,tt0109444,0,0,1,0,1
104,350,tt0109446,1,0,0,0,1
105,8542,tt0028772,0,0,0,0,1
106,353,tt0109506,0,0,0,0,1
107,356,tt0109830,1,0,1,1,1
108,357,tt0109831,1,1,0,1,1
